0;Title;Acronym;GGS Class;GGS Rating;Qualified Classes;Collected Classes;All Qualified Classes;MA-Max. Field Rating;MA-Best Rank Field Rating;MA-Best Class Field Rating;MA-All Field Ratings;MA-All Ranks Field Rating;MA-All Classes Field Rating;MA-Max. Avg. Citations;MA-Best Rank Avg. Citations;MA-Best Class Avg. Citations;MA-All Avg. Citations;MA-All Ranks Avg. Citations;MA-All Classes Avg. Citations;MA-Max. Num. of Papers;MA-Max. Citations;MA-All Num. of Papers;MA-All Citations;LiveSHINE-Max. H-Index;LiveSHINE-Best Rank H-Index;LiveSHINE-Best Class H-Index;LiveSHINE-All H-Indexes;LiveSHINE-All Ranks H-Index;LiveSHINE-All Classes H-Index;LiveSHINE-Max. Avg. Citations;LiveSHINE-Best Rank Avg. Citations;LiveSHINE-Best Class Avg. Citations;LiveSHINE-All Avg. Citations;LiveSHINE-All Ranks Avg. Citations;LiveSHINE-All Classes Avg. Citations;LiveSHINE-Max. Num. of Papers;LiveSHINE-Max. Citations;LiveSHINE-All Num. of Papers;LiveSHINE-All Citations;CORE-Best Class;CORE-All Classes;Num. of Input Records;;;;;;
0;3-D DIGITAL IMAGING AND MODELLING;3DIM;Not Rated;Not Rated (discontinued event);CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
1;INTERNATIONAL CONFERENCE ON 3D IMAGING, MODELING, PROCESSING, VISUALIZATION & TRANSMISSION;3DIMPVT;Work in Progress;Work in Progress;MA:C;C;MA:[C|B];21;1323;C;21;1323;C;14,91;549;B;14,91;549;B;128;1909;128;1909;;;;;;;;;;;;;;;;;;;1;;;;;;
2;INTERNATIONAL SYMPOSIUM ON 3D DATA PROCESSING VISUALIZATION AND TRANSMISSION;3DPVT;Work in Progress;Work in Progress;CORE:C, MA:B;B, C;CORE:[C], MA:[B-|A];50;578;B-;50;578;B-;22,03;364;A;22,03;364;A;429;9453;429;9453;;;;;;;;;;;;;;;;;C;C;2;;;;;;
3;3DTV-CONFERENCE: THE TRUE VISION - CAPTURE, TRANSMISSION AND DISPLAY OF 3D VIDEO;3DTV CON;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];24;1127;C;24;1127;C;6,14;1208;D;6,14;1208;D;535;3283;535;3283;;;;;;;;;;;;;;;;;;;1;;;;;;
4;IEEE SYMPOSIUM ON 3D USER INTERFACES;3DUI;3;B-;CORE:B, LiveSHINE:B, MA:C;B, B, C;CORE:[B], LiveSHINE:[B|C], MA:[C|C];29;870;C;29;870;C;7,54;1022;C;7,54;1022;C;546;4119;546;4119;32;379;B;32;379;B;9,11;509;C;9,11;509;C;418;3808;418;3808;B;B;3;;;;;;
5;INTERNATIONAL CONFERENCE ON 3D VISION;3DV;Work in Progress;Work in Progress;MA:C;C;MA:[C|C];17;1669;C;17;1669;C;7,93;986;C;7,93;986;C;316;2505;316;2505;;;;;;;;;;;;;;;;;;;1;;;;;;
6;INTERNATIONAL CONFERENCE ON 3G MOBILE COMMUNICATION TECHNOLOGIES;3G;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
7;INTERNATIONAL CONFERENCE ON P2P, PARALLEL, GRID, CLOUD, AND INTERNET COMPUTING;3PGCIC;Work in Progress;Work in Progress;LiveSHINE:C;C;LiveSHINE:[C|D];;;;;;;;;;;;;;;;;14;862;C;14;862;C;2,29;972;D;2,29;972;D;599;1369;599;1369;;;1;;;;;;
8;ADVANCES IN MODEL-BASED SOFTWARE TESTING;A MOST;Work in Progress;Work in Progress;MA:B-;B-;MA:[C|A];16;1770;C;16;1770;C;18,44;448;A;18,44;448;A;45;830;45;830;;;;;;;;;;;;;;;;;;;1;;;;;;
9;ASIAN SOLID-STATE CIRCUITS CONFERENCE;A SSCC;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];31;809;C;31;809;C;6,44;1163;D;6,44;1163;D;1380;8883;1380;8883;;;;;;;;;;;;;;;;;;;1;;;;;;
10;INTERNATIONAL WORKSHOP ON ADVANCED ARCHITECTURES AND ALGORITHMS FOR INTERNET DELIVERY AND APPLICATIONS;AAA-IDEA;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
11;INTERNATIONAL SYMPOSIUM ON APPLIED ALGEBRA, ALGEBRAIC ALGORITHMS AND ERROR-CORRECTING CODES;AAAAECC;Work in Progress;Work in Progress;CORE:B;B;CORE:[B];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B;B;1;;;;;;
12;SYMPOSIUM OF ASIAN ASSOCIATION FOR ALGORITHMS AND COMPUTATION;AAAC;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
13;CONFERENCE ON ARTIFICIAL INTELLIGENCE;AAAI;1;A++;CORE:A++, LiveSHINE:A++, MA:A++;A++, A++, A++;CORE:[A++], LiveSHINE:[A++|A], MA:[A++|A+];241;20;A++;241;20;A++;24,71;320;A+;24,71;320;A+;13981;345455;13981;345455;105;26;A++;105;26;A++;19,76;182;A;19,76;182;A;3836;75808;3836;75808;A++;A++;3;;;;;;
14;ALGORITHMIC APPLICATIONS IN MANAGEMENT;AAIM;Work in Progress;Work in Progress;CORE:C, LiveSHINE:C, MA:C;C, C, C;CORE:[C], LiveSHINE:[C|D], MA:[C|C];19;1487;C;19;1487;C;8,24;959;C;8,24;959;C;278;2292;278;2292;21;667;C;21;667;C;6,38;684;D;6,38;684;D;360;2296;360;2296;C;C;3;;;;;;
15;ADAPTIVE AGENTS AND MULTI-AGENTS SYSTEMS;AAMAS;1;A+;CORE:A++, LiveSHINE:A, MA:A+;A++, A+, A;CORE:[A++], LiveSHINE:[A|B], MA:[A+|A];156;71;A+;27, 156;71, 959;C, A+;49,59;103;A++;21,74, 49,59;103, 369;A, A++;5779;125634;116, 5779;5752, 125634;74;79;A;74;79;A;12,74;349;B;12,74;349;B;2808;35762;2808;35762;A++;A++;4;;;;;;
16;TRUST IN AGENT SOCIETIES;AAMAS-TRUST;Work in Progress;Work in Progress;LiveSHINE:B;B;LiveSHINE:[B|B];;;;;;;;;;;;;;;;;24;572;B;24;572;B;13,36;330;B;13,36;330;B;180;2404;180;2404;;;1;;;;;;
17;ABSTRACT STATE MACHINES, ALLOY, B AND Z;ABZ;Work in Progress;Work in Progress;CORE:C, LiveSHINE:C;C, C;CORE:[C], LiveSHINE:[C|C];;;;;;;;;;;;;;;;;16;826;C;16;826;C;7,72;597;C;7,72;597;C;155;1197;155;1197;C;C;2;;;;;;
18;AIAA/CEAS AEROACOUSTICS CONFERENCE;AC;Work in Progress;Work in Progress;MA:B;B;MA:[B|D];70;331;B;70;331;B;6,97;1096;D;6,97;1096;D;4769;33219;4769;33219;;;;;;;;;;;;;;;;;;;1;;;;;;
19;ADVANCED COURSE ON ARTIFICIAL INTELLIGENCE;ACAI;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
20;APPLIED COMPUTING CONFERENCE;ACC;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
21;INTERNATIONAL CONFERENCE ON ADVANCES IN COMPUTING, CONTROL, AND TELECOMMUNICATION TECHNOLOGIES;ACCTT;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];18;1569;C;18;1569;C;5,58;1280;D;5,58;1280;D;274;1530;274;1530;;;;;;;;;;;;;;;;;;;1;;;;;;
22;ASIAN CONFERENCE ON COMPUTER VISION;ACCV;3;B;CORE:B, MA:B;B, B;CORE:[B], MA:[B|B];78;273;B;78;273;B;12,29;666;B;12,29;666;B;2128;26148;2128;26148;;;;;;;;;;;;;;;;;B;B;2;;;;;;
23;ACM INTERNATIONAL CONFERENCE ON ADVANCES IN COMPUTER ENTERTAINMENT (MERGED WITH DIMEA, DIGITAL INTERACTIVE MEDIA IN ENTERTAINMENT AND ARTS, IN 2009);ACE (DIMEA);Work in Progress;Work in Progress;CORE:B, LiveSHINE:C;B, C;CORE:[B], LiveSHINE:[C|D];;;;;;;;;;;;;;;;;18;758;C;18;758;C;0,93;1019;D;0,93;1019;D;1153;1075;1153;1075;B;B;2;;;;;;
